,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
4,2023-04-21 20:11:01.358119,3.258508444,1.474828243,8.815450668,-0.102055125,0.018652374,-0.011191424
5,2023-04-21 20:11:01.358119,3.263296843,1.472434044,8.815450668,-0.10258805,0.018652374,-0.010924961
6,2023-04-21 20:11:01.358119,3.268085241,1.472434044,8.817844391,-0.10258805,0.018652374,-0.011191424
7,2023-04-21 20:11:01.358119,3.270479441,1.470039845,8.820239067,-0.10258805,0.018652374,-0.010924961
8,2023-04-21 20:11:01.358119,3.27287364,1.467645645,8.817844391,-0.10258805,0.018652374,-0.010924961
9,2023-04-21 20:11:01.358119,3.275267839,1.467645645,8.817844391,-0.10258805,0.018652374,-0.011191424
10,2023-04-21 20:11:01.358119,3.277662039,1.472434044,8.82263279,-0.10258805,0.018652374,-0.011191424
11,2023-04-21 20:11:01.358119,3.280056238,1.474828243,8.825027466,-0.102321595,0.019185297,-0.010924961
12,2023-04-21 20:11:01.358119,3.280056238,1.474828243,8.829815865,-0.102321595,0.019185297,-0.010924961
13,2023-04-21 20:11:01.358119,3.280056238,1.470039845,8.825027466,-0.102321595,0.019185297,-0.010924961
14,2023-04-21 20:11:01.358119,3.277662039,1.465251446,8.82263279,-0.10258805,0.019451762,-0.011191424
0,2023-04-21 20:11:01.388114,3.265691042,1.467645645,8.832210541,-0.10258805,0.018918836,-0.011457887
1,2023-04-21 20:11:01.388114,3.268085241,1.467645645,8.834604263,-0.10258805,0.018652374,-0.011724349
2,2023-04-21 20:11:01.388114,3.268085241,1.465251446,8.827422142,-0.10258805,0.018652374,-0.011990812
3,2023-04-21 20:11:01.388114,3.268085241,1.465251446,8.820239067,-0.10258805,0.018652374,-0.011990812
4,2023-04-21 20:11:01.388114,3.270479441,1.462857246,8.81066227,-0.10258805,0.018652374,-0.011990812
5,2023-04-21 20:11:01.388114,3.268085241,1.460463047,8.803479195,-0.10285452,0.018652374,-0.011724349
6,2023-04-21 20:11:01.388114,3.268085241,1.462857246,8.803479195,-0.10285452,0.018918836,-0.011724349
7,2023-04-21 20:11:01.388114,3.268085241,1.462857246,8.803479195,-0.10285452,0.019185297,-0.011724349
8,2023-04-21 20:11:01.388114,3.265691042,1.460463047,8.813055992,-0.10285452,0.019718224,-0.011457887
9,2023-04-21 20:11:01.388114,3.268085241,1.462857246,8.82263279,-0.10258805,0.019718224,-0.011724349
10,2023-04-21 20:11:01.388114,3.265691042,1.465251446,8.827422142,-0.102055125,0.019451762,-0.011724349
11,2023-04-21 20:11:01.388114,3.263296843,1.465251446,8.832210541,-0.102055125,0.019185297,-0.011724349
12,2023-04-21 20:11:01.388114,3.265691042,1.465251446,8.829815865,-0.10178867,0.018918836,-0.011724349
13,2023-04-21 20:11:01.388114,3.265691042,1.465251446,8.827422142,-0.10178867,0.018652374,-0.011457887
14,2023-04-21 20:11:01.388114,3.265691042,1.462857246,8.82263279,-0.101522207,0.018652374,-0.011457887
0,2023-04-21 20:11:01.408138,3.275267839,1.472434044,8.817844391,-0.100989282,0.019984685,-0.012257273
1,2023-04-21 20:11:01.408138,3.275267839,1.470039845,8.82263279,-0.101255737,0.019984685,-0.012257273
2,2023-04-21 20:11:01.408138,3.27287364,1.470039845,8.82263279,-0.101255737,0.02051761,-0.012523737
3,2023-04-21 20:11:01.408138,3.27287364,1.470039845,8.825027466,-0.101522207,0.020251149,-0.012257273
4,2023-04-21 20:11:01.408138,3.27287364,1.472434044,8.829815865,-0.101522207,0.020251149,-0.012257273
5,2023-04-21 20:11:01.408138,3.27287364,1.472434044,8.83699894,-0.101522207,0.020251149,-0.012523737
6,2023-04-21 20:11:01.408138,3.27287364,1.472434044,8.841787338,-0.101522207,0.020251149,-0.012523737
7,2023-04-21 20:11:01.408138,3.270479441,1.477222443,8.839392662,-0.10178867,0.020251149,-0.012523737
8,2023-04-21 20:11:01.408138,3.268085241,1.477222443,8.844181061,-0.10178867,0.020251149,-0.012257273
9,2023-04-21 20:11:01.408138,3.265691042,1.474828243,8.846575737,-0.10178867,0.02051761,-0.012257273
10,2023-04-21 20:11:01.408138,3.265691042,1.474828243,8.844181061,-0.10178867,0.020251149,-0.012523737
11,2023-04-21 20:11:01.408138,3.265691042,1.472434044,8.844181061,-0.10178867,0.02051761,-0.012523737
12,2023-04-21 20:11:01.408138,3.265691042,1.470039845,8.844181061,-0.10178867,0.02051761,-0.012523737
13,2023-04-21 20:11:01.408138,3.265691042,1.465251446,8.846575737,-0.10178867,0.02051761,-0.012257273
14,2023-04-21 20:11:01.408138,3.270479441,1.465251446,8.84896946,-0.102055125,0.020784073,-0.012257273
0,2023-04-21 20:11:01.438134,3.263296843,1.44849205,8.813055992,-0.10285452,0.019451762,-0.011990812
1,2023-04-21 20:11:01.438134,3.263296843,1.44849205,8.81066227,-0.10258805,0.019451762,-0.011990812
2,2023-04-21 20:11:01.438134,3.263296843,1.446097851,8.81066227,-0.10258805,0.019718224,-0.012257273
3,2023-04-21 20:11:01.438134,3.263296843,1.446097851,8.805873871,-0.10258805,0.019718224,-0.012257273
