,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
4,1693677650458992500,1.027112484,-0.849941611,10.24239445,-0.062218986,-0.001598775,-0.009059724,-20,41,90,3,-5
0,1693677650470009900,1.024718285,-0.849941611,10.27112484,-0.062751912,-0.001465544,-0.008660031,-3,54,97,10,-5
1,1693677650471009900,1.024718285,-0.852335811,10.26394272,-0.062751912,-0.001199081,-0.008660031,-23,45,81,10,7
2,1693677650472009900,1.028309584,-0.851138711,10.26154804,-0.062885143,-0.00106585,-0.008526799,-6,67,112,24,14
3,1693677650473009900,1.028309584,-0.851138711,10.26154804,-0.062751912,-0.00106585,-0.008660031,31,78,110,23,-2
4,1693677650474009900,1.029506683,-0.85353291,10.26154804,-0.062885143,-0.00106585,-0.008660031,-15,64,102,18,3
0,1693677650486000900,1.028309584,-0.85473001,10.24838066,-0.062352221,-0.001998469,-0.008926493,-19,43,83,12,-9
1,1693677650487000900,1.025915384,-0.857124209,10.24718285,-0.062352221,-0.001865237,-0.008926493,-1,67,101,38,15
2,1693677650488000900,1.027112484,-0.857124209,10.24598598,-0.062352221,-0.001732006,-0.008793262,-28,37,86,11,-8
3,1693677650489000900,1.031900883,-0.85592711,10.24359226,-0.062352221,-0.001732006,-0.008660031,-27,51,100,24,-11
4,1693677650490000900,1.029506683,-0.85473001,10.24598598,-0.062485453,-0.001732006,-0.008660031,-30,43,80,6,-7
0,1693677650519962800,1.027112484,-0.849941611,10.26394272,-0.062352221,-0.001998469,-0.009192956,-24,44,87,12,-9
1,1693677650520962800,1.024718285,-0.851138711,10.26035118,-0.062352221,-0.001998469,-0.009326187,-33,39,84,13,-4
2,1693677650521962800,1.027112484,-0.85592711,10.26513958,-0.062352221,-0.001998469,-0.009326187,-24,42,87,13,-8
3,1693677650522962800,1.027112484,-0.85473001,10.26274586,-0.062218986,-0.001865237,-0.009192956,-26,37,83,-2,-6
4,1693677650523962800,1.024718285,-0.852335811,10.25915432,-0.062085759,-0.001865237,-0.009192956,-15,41,88,6,-5
0,1693677650546944700,1.024718285,-0.848744512,10.26513958,-0.062352221,-0.001598775,-0.008526799,-30,45,90,12,-12
1,1693677650547944700,1.027112484,-0.849941611,10.26154804,-0.062352221,-0.001598775,-0.008660031,-30,41,85,11,-13
2,1693677650548944700,1.027112484,-0.852335811,10.25795746,-0.06261868,-0.001598775,-0.008660031,-29,42,79,9,-9
3,1693677650549944700,1.022324085,-0.85353291,10.25915432,-0.062485453,-0.001465544,-0.008660031,-28,40,88,2,-9
4,1693677650550944700,1.022324085,-0.851138711,10.26154804,-0.06261868,-0.001465544,-0.008660031,-24,43,90,12,-7
0,1693677650570931000,1.012747288,-0.846350312,10.25077438,-0.062085759,-0.001998469,-0.008127105,-32,43,87,8,-3
1,1693677650571931000,1.013944387,-0.848744512,10.25316906,-0.062085759,-0.002264931,-0.008127105,-20,43,87,6,-7
